date,state,total_enrolments,age_0_5,age_5_17,age_18_greater,num_districts,total_bio_updates,bio_age_5_17,bio_age_17_,total_demo_updates,demo_age_5_17,demo_age_17_,total_updates
2025-06-01,Goa,0.0,0.0,0.0,0.0,0.0,7353.0,2713.0,4640.0,0.0,0.0,0.0,7353.0
2025-06-01,Gujarat,12224.0,6275.0,5245.0,704.0,38.0,437361.0,206071.0,231290.0,67427.0,7858.0,59569.0,504788.0
2025-06-01,Haryana,7641.0,6112.0,1190.0,339.0,15.0,165272.0,55616.0,109656.0,111319.0,12398.0,98921.0,276591.0
2025-06-01,Himachal Pradesh,0.0,0.0,0.0,0.0,0.0,38939.0,13310.0,25629.0,3888.0,362.0,3526.0,42827.0
2025-06-01,Jammu And Kashmir,0.0,0.0,0.0,0.0,0.0,79215.0,38896.0,40319.0,13108.0,2014.0,11094.0,92323.0
2025-06-01,Jharkhand,3324.0,1564.0,1644.0,116.0,8.0,198929.0,82593.0,116336.0,0.0,0.0,0.0,198929.0
2025-06-01,Karnataka,11685.0,5863.0,3662.0,2160.0,44.0,337504.0,158782.0,178722.0,84681.0,15555.0,69126.0,422185.0
2025-06-01,Kerala,186.0,85.0,80.0,21.0,2.0,223183.0,90606.0,132577.0,0.0,0.0,0.0,223183.0
2025-06-01,Ladakh,0.0,0.0,0.0,0.0,0.0,339.0,100.0,239.0,0.0,0.0,0.0,339.0
2025-06-01,Lakshadweep,0.0,0.0,0.0,0.0,0.0,574.0,221.0,353.0,0.0,0.0,0.0,574.0
2025-06-01,Madhya Pradesh,18154.0,9708.0,7774.0,672.0,35.0,891131.0,538546.0,352585.0,203880.0,37214.0,166666.0,1095011.0
2025-06-01,Maharashtra,10649.0,6521.0,3518.0,610.0,30.0,1017490.0,339273.0,678217.0,107102.0,12811.0,94291.0,1124592.0
2025-06-01,Manipur,603.0,91.0,499.0,13.0,1.0,11300.0,5424.0,5876.0,0.0,0.0,0.0,11300.0
2025-06-01,Meghalaya,13561.0,1724.0,7051.0,4786.0,37.0,10839.0,3247.0,7592.0,0.0,0.0,0.0,10839.0
2025-06-01,Mizoram,311.0,205.0,69.0,37.0,2.0,7384.0,3978.0,3406.0,2672.0,162.0,2510.0,10056.0
2025-06-01,Nagaland,739.0,181.0,502.0,56.0,3.0,11325.0,2078.0,9247.0,0.0,0.0,0.0,11325.0
2025-06-01,Odisha,0.0,0.0,0.0,0.0,0.0,272081.0,134982.0,137099.0,0.0,0.0,0.0,272081.0
2025-06-01,Puducherry,0.0,0.0,0.0,0.0,0.0,6562.0,2242.0,4320.0,0.0,0.0,0.0,6562.0
